Nom du skin,2025-06-05,Steam - 2025-06-05,SkinBaron - 2025-06-05,Steam - 2025-06-06,SkinBaron - 2025-06-06,Steam - 2025-06-07,SkinBaron - 2025-06-07
Sticker | NAF (Foil) | London 2018,20.02,20.02,13.36,20.03,13.36,20.03,13.59
Sticker | NAF (Glitter) | Antwerp 2022,0.06,0.06,0.04,0.06,0.04,0.06,0.04
Sticker | NAF (Glitter) | Paris 2023,0.03,0.03,0.01,0.03,0.01,0.03,0.02
Sticker | NAF (Glitter) | Rio 2022,0.11,0.11,0.05,0.11,0.05,0.13,0.12
Sticker | NAF (Glitter) | Shanghai 2024,0.18,0.18,0.08,0.16,0.08,0.18,0.15
Sticker | NAF (Gold) | Antwerp 2022,7.9,7.9,6.5,7.9,6.5,7.9,6.5
Sticker | NAF (Gold) | Berlin 2019,22.68,22.68,12.37,22.83,12.37,22.63,102.2
Sticker | NAF (Gold) | Boston 2018,,,,,,,
Sticker | NAF (Gold) | Katowice 2019,43.76,43.76,32.52,43.95,32.52,43.77,32.99
Sticker | NAF (Gold) | Paris 2023,2.32,2.32,1.54,2.33,1.54,2.22,2.08
Sticker | NAF (Gold) | Rio 2022,9.35,9.35,6.0,9.43,6.0,9.33,9.0
Sticker | NAF (Gold) | Shanghai 2024,6.78,6.78,5.18,6.75,5.18,6.76,7.19
Sticker | NAF (Holo) | Antwerp 2022,0.78,0.78,0.6,0.77,0.6,0.77,0.74
Sticker | NAF (Holo) | Paris 2023,0.26,0.26,0.16,0.26,0.16,0.27,0.2
Sticker | NAF (Holo) | Rio 2022,0.97,0.97,0.73,0.97,0.73,1.05,0.88
Sticker | NAF (Holo) | Shanghai 2024,0.96,0.96,0.7,0.95,0.7,0.95,1.47
Sticker | NAF | Antwerp 2022,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NAF | Atlanta 2017,12.22,12.22,10.5,12.25,10.5,12.22,15.7
Sticker | NAF | Austin 2025,,,,,,,
Sticker | NAF | Berlin 2019,0.1,0.1,0.05,0.09,0.05,0.1,0.05
Sticker | NAF | Boston 2018,11.29,11.29,5.18,11.29,5.18,11.18,19.12
Sticker | NAF | Cologne 2016,13.0,13.0,6.34,13.0,6.34,12.37,6.05
Sticker | NAF | Katowice 2019,0.69,0.69,0.53,0.69,0.53,0.69,0.53
Sticker | NAF | London 2018,2.95,2.95,2.2,2.96,2.2,2.93,2.46
Sticker | NAF | Paris 2023,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NAF | Rio 2022,0.03,0.03,0.01,0.03,0.01,0.03,0.02
Sticker | NAF | Shanghai 2024,0.04,0.04,0.02,0.04,0.02,0.04,0.02
Sticker | NBK- (Foil) | Atlanta 2017,78.0,78.0,43.07,78.0,43.07,78.0,43.22
Sticker | NBK- (Foil) | Berlin 2019,0.48,0.48,0.4,0.48,0.4,0.48,0.43
Sticker | NBK- (Foil) | Boston 2018,7.37,7.37,5.3,7.32,5.3,7.36,5.99
Sticker | NBK- (Foil) | Cluj-Napoca 2015,34.36,34.36,30.68,34.59,30.68,34.29,35.25
Sticker | NBK- (Foil) | Cologne 2015,14.83,14.83,11.59,14.83,11.59,14.79,12.31
Sticker | NBK- (Foil) | Cologne 2016,57.5,57.5,56.09,57.5,56.09,57.5,56.29
Sticker | NBK- (Foil) | Katowice 2019,4.15,4.15,3.53,4.15,3.53,3.4,4.2
Sticker | NBK- (Foil) | Krakow 2017,24.88,24.88,19.09,24.89,19.09,24.9,23.77
Sticker | NBK- (Foil) | MLG Columbus 2016,27.99,27.99,29.5,27.99,29.5,27.99,29.5
Sticker | NBK- (Gold) | Berlin 2019,11.19,11.19,7.21,11.19,7.21,11.19,9.1
Sticker | NBK- (Gold) | Boston 2018,328.34,328.34,184.09,327.1,184.09,327.92,303.59
Sticker | NBK- (Gold) | Katowice 2019,76.9,76.9,47.04,77.46,47.04,77.46,47.2
Sticker | NBK- (Gold) | Krakow 2017,530.0,530.0,589.16,530.0,589.16,530.0,600.71
Sticker | NBK- | Atlanta 2017,9.73,9.73,4.49,9.73,4.49,9.11,9.09
Sticker | NBK- | Berlin 2019,0.21,0.21,0.11,0.17,0.11,0.23,0.15
Sticker | NBK- | Boston 2018,1.29,1.29,0.99,1.29,0.99,1.29,0.99
Sticker | NBK- | Cluj-Napoca 2015,4.57,4.57,3.4,4.48,3.4,4.56,3.41
Sticker | NBK- | Cologne 2015,3.46,3.46,2.7,3.48,2.7,3.45,3.15
Sticker | NBK- | Cologne 2016,17.83,17.83,19.09,17.83,19.09,13.47,40.78
Sticker | NBK- | Katowice 2019,0.69,0.69,0.68,0.69,0.68,0.69,0.76
Sticker | NBK- | Krakow 2017,2.72,2.72,2.6,2.5,2.6,2.48,2.6
Sticker | NBK- | MLG Columbus 2016,3.59,3.59,2.82,3.49,2.82,3.39,2.99
Sticker | NEKiZ (Glitter) | Copenhagen 2024,0.04,0.04,0.01,0.04,0.01,0.04,0.03
Sticker | NEKiZ (Glitter) | Paris 2023,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NEKiZ (Gold) | Copenhagen 2024,1.17,1.17,0.92,1.17,0.92,1.17,4.34
Sticker | NEKiZ (Gold) | Paris 2023,1.12,1.12,0.61,1.09,0.61,1.07,0.78
Sticker | NEKiZ (Holo) | Copenhagen 2024,0.28,0.28,0.14,0.28,0.14,0.28,0.19
Sticker | NEKiZ (Holo) | Paris 2023,0.18,0.18,0.11,0.18,0.11,0.18,0.16
Sticker | NEKiZ | Copenhagen 2024,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NEKiZ | Paris 2023,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NEO (Foil) | Atlanta 2017,50.0,50.0,36.53,50.0,36.53,50.0,37.24
Sticker | NEO (Foil) | Berlin 2019,1.09,1.09,0.66,1.09,0.66,1.09,0.67
Sticker | NEO (Foil) | Boston 2018,9.84,9.84,7.21,9.89,7.21,9.81,8.32
Sticker | NEO (Foil) | Cluj-Napoca 2015,52.23,52.23,22.91,52.41,22.91,52.28,26.01
Sticker | NEO (Foil) | Cologne 2015,16.04,16.04,12.82,16.04,12.82,16.04,14.45
Sticker | NEO (Foil) | Cologne 2016,27.84,27.84,17.18,27.84,17.18,27.84,21.63
Sticker | NEO (Foil) | Krakow 2017,29.71,29.71,17.73,29.71,17.73,29.71,28.99
Sticker | NEO (Foil) | London 2018,6.64,6.64,6.14,6.71,6.14,6.62,6.98
Sticker | NEO (Foil) | MLG Columbus 2016,19.98,19.98,19.83,19.98,19.83,19.98,20.99
Sticker | NEO (Gold) | Berlin 2019,17.4,17.4,16.02,17.33,16.02,17.38,34.11
Sticker | NEO (Gold) | Boston 2018,353.6,353.6,264.75,352.26,264.75,353.16,328.54
Sticker | NEO (Gold) | Krakow 2017,560.0,560.0,552.27,560.0,552.27,560.0,625.59
Sticker | NEO (Gold) | London 2018,455.91,455.91,245.32,458.9,245.32,454.83,335.61
Sticker | NEO | Atlanta 2017,3.97,3.97,2.7,3.97,2.7,3.97,2.33
Sticker | NEO | Berlin 2019,0.3,0.3,0.16,0.24,0.16,0.3,0.15
Sticker | NEO | Boston 2018,2.47,2.47,1.83,2.47,1.83,2.49,1.99
Sticker | NEO | Cluj-Napoca 2015,5.92,5.92,5.91,6.01,5.91,6.06,5.88
Sticker | NEO | Cologne 2015,4.52,4.52,3.19,4.88,3.19,4.85,4.01
Sticker | NEO | Cologne 2016,7.22,7.22,6.79,7.22,6.79,7.22,7.89
Sticker | NEO | Krakow 2017,2.87,2.87,2.31,2.89,2.31,2.84,4.04
Sticker | NEO | London 2018,2.39,2.39,1.35,2.41,1.35,2.38,2.21
Sticker | NEO | MLG Columbus 2016,4.09,4.09,4.18,4.02,4.18,3.98,5.9
Sticker | NEOFRAG (Glitter) | Paris 2023,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NEOFRAG (Glitter) | Rio 2022,0.09,0.09,0.1,0.09,0.1,0.09,0.33
Sticker | NEOFRAG (Gold) | Paris 2023,1.0,1.0,0.55,1.0,0.55,1.0,1.05
Sticker | NEOFRAG (Gold) | Rio 2022,7.52,7.52,5.79,7.52,5.79,7.5,11.28
Sticker | NEOFRAG (Holo) | Paris 2023,0.16,0.16,0.08,0.16,0.08,0.17,0.13
Sticker | NEOFRAG (Holo) | Rio 2022,0.83,0.83,0.53,0.83,0.53,0.83,1.63
Sticker | NEOFRAG | Paris 2023,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NEOFRAG | Rio 2022,0.04,0.04,0.01,0.04,0.01,0.04,0.03
Sticker | NQZ (Foil) | Austin 2025,,,,,,,
Sticker | NQZ (Glitter) | Copenhagen 2024,0.05,0.05,0.02,0.05,0.02,0.06,0.03
Sticker | NQZ (Glitter) | Rio 2022,0.4,0.4,0.3,0.41,0.3,0.4,0.43
Sticker | NQZ (Glitter) | Shanghai 2024,6.8,6.8,4.91,6.23,4.91,6.12,5.54
Sticker | NQZ (Gold) | Copenhagen 2024,1.57,1.57,0.75,1.39,0.75,1.39,2.15
Sticker | NQZ (Gold) | Rio 2022,39.91,39.91,28.41,39.75,28.41,39.85,28.41
Sticker | NQZ (Gold) | Shanghai 2024,3.75,3.75,3.68,3.73,3.68,3.7,4.31
Sticker | NQZ (Holo) | Copenhagen 2024,0.42,0.42,0.17,0.39,0.17,0.38,0.32
Sticker | NQZ (Holo) | Rio 2022,30.38,30.38,18.64,30.38,18.64,30.39,19.64
Sticker | NQZ (Holo) | Shanghai 2024,2.67,2.67,1.25,2.64,1.25,2.15,1.45
Sticker | NQZ | Austin 2025,,,,,,,
Sticker | NQZ | Copenhagen 2024,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NQZ | Rio 2022,0.31,0.31,0.2,0.31,0.2,0.35,0.19
Sticker | NQZ | Shanghai 2024,0.07,0.07,0.04,0.07,0.04,0.07,0.04
Sticker | NRG (Foil) | Austin 2025,,,,,,,
Sticker | NRG (Foil) | Berlin 2019,4.05,4.05,2.43,4.05,2.43,4.05,2.32
Sticker | NRG (Foil) | Katowice 2019,11.0,11.0,7.23,11.0,7.23,11.0,7.6
Sticker | NRG (Holo) | Austin 2025,,,,,,,
Sticker | NRG (Holo) | Berlin 2019,1.31,1.31,0.89,1.31,0.89,1.31,0.91
Sticker | NRG (Holo) | Katowice 2019,2.96,2.96,1.61,3.01,1.61,2.14,2.19
Sticker | NRG | Austin 2025,,,,,,,
Sticker | NRG | Berlin 2019,2.11,2.11,1.37,2.11,1.37,2.09,1.56
Sticker | NRG | Katowice 2019,2.37,2.37,2.31,2.36,2.31,2.22,2.43
Sticker | Nademan,0.11,0.11,0.07,0.11,0.07,0.11,0.09
Sticker | Natus Vincere (Foil) | 2020 RMR,0.99,0.99,0.69,1.0,0.69,0.99,0.7
Sticker | Natus Vincere (Foil) | Atlanta 2017,107.72,107.72,64.09,107.72,64.09,107.72,71.9
Sticker | Natus Vincere (Foil) | Austin 2025,,,,,,,
Sticker | Natus Vincere (Foil) | Berlin 2019,5.09,5.09,3.62,5.14,3.62,5.14,3.8
Sticker | Natus Vincere (Foil) | Boston 2018,31.77,31.77,18.27,31.77,18.27,31.74,18.99
Sticker | Natus Vincere (Foil) | Cluj-Napoca 2015,14.99,14.99,10.32,14.99,10.32,14.99,11.16
Sticker | Natus Vincere (Foil) | Cologne 2015,17.79,17.79,12.38,17.82,12.38,17.95,14.38
Sticker | Natus Vincere (Foil) | Cologne 2016,19.94,19.94,13.5,19.97,13.5,19.83,15.02
Sticker | Natus Vincere (Foil) | DreamHack 2014,136.78,136.78,99.0,137.68,99.0,136.46,99.0
Sticker | Natus Vincere (Foil) | Katowice 2015,138.5,138.5,95.45,138.92,95.45,138.86,99.74
Sticker | Natus Vincere (Foil) | Katowice 2019,12.43,12.43,8.29,12.45,8.29,12.45,9.89
Sticker | Natus Vincere (Foil) | Krakow 2017,37.67,37.67,25.64,37.67,25.64,37.67,30.43
Sticker | Natus Vincere (Foil) | London 2018,24.8,24.8,18.99,24.97,18.99,24.75,18.99
Sticker | Natus Vincere (Foil) | MLG Columbus 2016,39.5,39.5,26.59,39.65,26.59,39.0,26.63
Sticker | Natus Vincere (Foil) | Stockholm 2021,2.5,2.5,1.93,2.5,1.93,2.85,1.93
Sticker | Natus Vincere (Glitter) | Antwerp 2022,0.36,0.36,0.23,0.37,0.23,0.36,0.3
Sticker | Natus Vincere (Glitter) | Copenhagen 2024,0.57,0.57,0.39,0.55,0.39,0.53,0.45
Sticker | Natus Vincere (Glitter) | Paris 2023,0.11,0.11,0.07,0.13,0.07,0.13,0.07
Sticker | Natus Vincere (Glitter) | Rio 2022,0.23,0.23,0.14,0.23,0.14,0.21,0.17
Sticker | Natus Vincere (Glitter) | Shanghai 2024,0.24,0.24,0.17,0.24,0.17,0.24,0.17
Sticker | Natus Vincere (Gold) | 2020 RMR,4.08,4.08,2.72,4.15,2.72,4.0,3.27
Sticker | Natus Vincere (Gold) | Antwerp 2022,5.21,5.21,3.77,5.21,3.77,4.53,4.07
Sticker | Natus Vincere (Gold) | Austin 2025,,,,,,,
Sticker | Natus Vincere (Gold) | Copenhagen 2024,9.79,9.79,6.39,9.93,6.39,9.98,6.89
Sticker | Natus Vincere (Gold) | Paris 2023,2.73,2.73,2.11,2.93,2.11,2.84,2.14
Sticker | Natus Vincere (Gold) | Rio 2022,7.5,7.5,6.39,8.32,6.39,7.64,6.59
Sticker | Natus Vincere (Gold) | Shanghai 2024,4.51,4.51,3.56,4.4,3.56,4.45,3.51
Sticker | Natus Vincere (Gold) | Stockholm 2021,16.68,16.68,8.86,16.57,8.86,16.69,10.36
Sticker | Natus Vincere (Holo) | 2020 RMR,0.46,0.46,0.16,0.46,0.16,0.46,0.28
Sticker | Natus Vincere (Holo) | Antwerp 2022,3.4,3.4,2.45,3.61,2.45,3.79,2.73
Sticker | Natus Vincere (Holo) | Atlanta 2017,91.57,91.57,54.14,91.22,54.14,91.45,59.15
Sticker | Natus Vincere (Holo) | Austin 2025,,,,,,,
Sticker | Natus Vincere (Holo) | Berlin 2019,1.12,1.12,0.75,1.09,0.75,1.15,0.99
Sticker | Natus Vincere (Holo) | Boston 2018,23.95,23.95,17.05,23.95,17.05,26.15,27.87
Sticker | Natus Vincere (Holo) | Cologne 2014,90.81,90.81,62.45,91.4,62.45,90.71,72.53
Sticker | Natus Vincere (Holo) | Cologne 2016,20.3,20.3,12.26,20.3,12.26,20.31,15.04
Sticker | Natus Vincere (Holo) | Copenhagen 2024,3.79,3.79,2.37,3.72,2.37,3.73,2.78
Sticker | Natus Vincere (Holo) | DreamHack 2014,390.0,390.0,313.64,390.0,313.64,390.0,326.65
Sticker | Natus Vincere (Holo) | Katowice 2014,,,9272.73,,9272.73,,24440.29
Sticker | Natus Vincere (Holo) | Katowice 2015,983.54,983.54,619.09,990.72,619.09,979.92,658.58
Sticker | Natus Vincere (Holo) | Katowice 2019,11.09,11.09,5.67,11.05,5.67,10.16,6.82
Sticker | Natus Vincere (Holo) | Krakow 2017,30.62,30.65,25.04,30.86,25.04,30.28,25.65
Sticker | Natus Vincere (Holo) | London 2018,18.11,18.11,9.29,18.11,9.29,17.5,13.65
Sticker | Natus Vincere (Holo) | MLG Columbus 2016,45.71,45.71,33.79,45.6,33.79,44.92,35.88
Sticker | Natus Vincere (Holo) | Paris 2023,1.96,1.96,1.53,2.18,1.53,2.23,1.62
Sticker | Natus Vincere (Holo) | Rio 2022,2.09,2.09,1.49,2.11,1.49,2.12,1.54
Sticker | Natus Vincere (Holo) | Shanghai 2024,1.08,1.08,0.64,1.15,0.64,1.16,0.64
Sticker | Natus Vincere (Holo) | Stockholm 2021,2.83,2.81,1.91,2.83,1.91,2.69,1.98
Sticker | Natus Vincere | 2020 RMR,0.05,0.05,0.02,0.05,0.02,0.05,0.02
Sticker | Natus Vincere | Antwerp 2022,0.05,0.05,0.02,0.05,0.02,0.05,0.02
Sticker | Natus Vincere | Atlanta 2017,7.75,7.75,6.49,7.59,6.49,7.85,7.39
Sticker | Natus Vincere | Austin 2025,,,,,,,
Sticker | Natus Vincere | Berlin 2019,0.78,0.78,0.48,0.77,0.48,0.75,0.55
Sticker | Natus Vincere | Boston 2018,3.29,3.29,2.33,3.25,2.33,3.18,2.35
Sticker | Natus Vincere | Cluj-Napoca 2015,3.27,3.27,2.54,3.69,2.54,3.8,2.9
Sticker | Natus Vincere | Cologne 2014,13.86,13.86,10.09,13.74,10.09,13.74,12.18
Sticker | Natus Vincere | Cologne 2015,4.87,4.87,3.82,4.87,3.82,4.87,3.83
Sticker | Natus Vincere | Cologne 2016,4.56,4.56,3.57,4.61,3.57,4.87,3.58
Sticker | Natus Vincere | Copenhagen 2024,0.07,0.07,0.04,0.07,0.04,0.06,0.04
Sticker | Natus Vincere | DreamHack 2014,43.75,43.75,27.0,43.67,27.0,43.39,36.08
Sticker | Natus Vincere | Katowice 2014,845.8,845.8,744.69,846.92,744.69,846.77,747.32
Sticker | Natus Vincere | Katowice 2015,30.61,30.61,22.23,30.67,22.23,30.77,23.23
Sticker | Natus Vincere | Katowice 2019,2.12,2.12,1.2,2.12,1.2,2.12,1.92
Sticker | Natus Vincere | Krakow 2017,3.53,3.53,1.83,3.47,1.83,3.41,2.41
Sticker | Natus Vincere | London 2018,2.01,2.01,1.16,2.01,1.16,2.01,1.15
Sticker | Natus Vincere | MLG Columbus 2016,3.47,3.47,2.24,3.48,2.24,3.4,2.26
Sticker | Natus Vincere | Paris 2023,0.04,0.04,0.01,0.04,0.01,0.04,0.01
Sticker | Natus Vincere | Rio 2022,0.05,0.05,0.02,0.06,0.02,0.06,0.02
Sticker | Natus Vincere | Shanghai 2024,0.04,0.04,0.01,0.04,0.01,0.04,0.01
Sticker | Natus Vincere | Stockholm 2021,0.09,0.09,0.06,0.09,0.06,0.09,0.06
Sticker | Necron,0.31,0.31,0.24,0.29,0.24,0.29,0.23
Sticker | Necron Ankh,,,,,,,
Sticker | Necron Glyphs,,,,,,,
Sticker | Nelu the Bear,1.12,1.12,0.74,1.12,0.74,1.12,0.79
Sticker | Nemiga (Foil) | 2020 RMR,0.82,0.82,0.56,0.82,0.56,0.82,0.57
Sticker | Nemiga (Foil) | Austin 2025,,,,,,,
Sticker | Nemiga (Gold) | 2020 RMR,4.06,4.06,2.75,4.07,2.75,4.03,3.25
Sticker | Nemiga (Holo) | 2020 RMR,0.23,0.23,0.13,0.24,0.13,0.23,0.17
Sticker | Nemiga (Holo) | Austin 2025,,,,,,,
Sticker | Nemiga | 2020 RMR,0.08,0.08,0.02,0.08,0.02,0.07,0.03
Sticker | Nemiga | Austin 2025,,,,,,,
Sticker | Neon Opal Strafe (Holo),13.2,13.2,7.97,12.32,7.97,14.22,9.57
Sticker | NertZ (Foil) | Austin 2025,,,,,,,
Sticker | NertZ (Glitter) | Copenhagen 2024,0.16,0.16,0.11,0.15,0.11,0.11,0.14
Sticker | NertZ (Glitter) | Paris 2023,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NertZ (Glitter) | Shanghai 2024,0.03,0.03,0.01,0.03,0.01,0.03,0.02
Sticker | NertZ (Gold) | Copenhagen 2024,3.22,3.22,2.42,3.22,2.42,3.22,3.45
Sticker | NertZ (Gold) | Paris 2023,1.01,1.01,0.68,1.01,0.68,1.0,1.41
Sticker | NertZ (Gold) | Shanghai 2024,1.24,1.24,1.01,1.27,1.01,1.27,1.01
Sticker | NertZ (Holo) | Copenhagen 2024,0.8,0.8,0.47,0.78,0.47,0.77,0.66
Sticker | NertZ (Holo) | Paris 2023,0.17,0.17,0.1,0.18,0.1,0.18,0.16
Sticker | NertZ (Holo) | Shanghai 2024,0.11,0.11,0.08,0.11,0.08,0.11,0.09
Sticker | NertZ | Austin 2025,,,,,,,
Sticker | NertZ | Copenhagen 2024,0.03,0.03,0.02,0.03,0.02,0.03,0.02
Sticker | NertZ | Paris 2023,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | NertZ | Shanghai 2024,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | Nest Egg,0.24,0.24,0.16,0.24,0.16,0.24,0.16
Sticker | Nest Egg (Holo),0.98,0.98,0.73,0.98,0.73,0.98,0.73
Sticker | New Sheriff (Foil),11.62,11.62,7.05,11.73,7.05,11.66,8.85
Sticker | Nezha,0.41,0.41,0.32,0.48,0.32,0.48,0.33
Sticker | NiKo (Foil) | Atlanta 2017,420.69,420.69,218.11,420.69,218.11,420.69,222.39
Sticker | NiKo (Foil) | Austin 2025,,,,,,,
Sticker | NiKo (Foil) | Berlin 2019,9.77,9.77,7.1,9.77,7.1,9.77,6.89
Sticker | NiKo (Foil) | Boston 2018,100.09,100.09,79.77,100.11,79.77,100.69,84.27
Sticker | NiKo (Foil) | Cluj-Napoca 2015,395.52,395.52,267.87,397.8,267.87,394.62,273.12
Sticker | NiKo (Foil) | Cologne 2016,249.98,249.98,190.91,249.98,190.91,249.98,194.65
Sticker | NiKo (Foil) | Katowice 2019,24.62,24.62,17.73,25.67,17.73,25.39,18.94
Sticker | NiKo (Foil) | Krakow 2017,148.17,148.17,116.29,149.15,116.29,147.82,118.75
Sticker | NiKo (Foil) | London 2018,50.04,50.04,35.13,50.04,35.13,50.07,35.25
Sticker | NiKo (Foil) | MLG Columbus 2016,235.52,235.52,96.61,237.24,96.61,234.65,102.91
Sticker | NiKo (Glitter) | Antwerp 2022,1.62,1.62,0.76,1.62,0.76,1.51,0.81
Sticker | NiKo (Glitter) | Copenhagen 2024,1.43,1.43,1.02,1.41,1.02,1.38,1.02
Sticker | NiKo (Glitter) | Paris 2023,0.34,0.34,0.22,0.34,0.22,0.34,0.23
Sticker | NiKo (Glitter) | Shanghai 2024,0.69,0.69,0.51,0.69,0.51,0.69,0.47
Sticker | NiKo (Gold) | Antwerp 2022,70.9,70.9,49.09,70.91,49.09,70.93,55.69
Sticker | NiKo (Gold) | Berlin 2019,69.36,69.36,42.27,69.38,42.27,69.4,46.69
Sticker | NiKo (Gold) | Boston 2018,,,1636.36,,1636.36,,1668.45
Sticker | NiKo (Gold) | Copenhagen 2024,49.18,49.18,37.62,49.51,37.62,49.07,36.62
Sticker | NiKo (Gold) | Katowice 2019,383.67,383.67,202.84,383.78,202.84,383.89,217.99
Sticker | NiKo (Gold) | Krakow 2017,1800.0,1800.0,1363.64,1800.0,1363.64,1800.0,1390.37
Sticker | NiKo (Gold) | London 2018,1478.86,1478.86,530.11,1478.86,530.11,1478.86,540.51
Sticker | NiKo (Gold) | Paris 2023,36.75,36.75,28.15,36.75,28.15,36.75,28.15
Sticker | NiKo (Gold) | Shanghai 2024,74.79,74.79,51.82,73.55,51.82,73.44,52.32
Sticker | NiKo (Gold) | Stockholm 2021,104.85,104.85,71.53,105.54,71.53,102.35,75.53
Sticker | NiKo (Holo) | Antwerp 2022,9.32,9.32,6.49,9.37,6.49,9.28,6.77
Sticker | NiKo (Holo) | Copenhagen 2024,7.99,7.99,5.59,8.05,5.59,7.93,5.99
Sticker | NiKo (Holo) | Paris 2023,4.55,4.55,3.27,4.6,3.27,4.85,3.59
Sticker | NiKo (Holo) | Shanghai 2024,6.9,6.9,4.54,6.68,4.54,6.53,4.77
Sticker | NiKo (Holo) | Stockholm 2021,10.19,10.19,6.29,9.74,6.29,9.1,6.55
Sticker | NiKo | Antwerp 2022,0.14,0.14,0.1,0.15,0.1,0.15,0.12
Sticker | NiKo | Atlanta 2017,94.71,94.71,49.77,88.23,49.77,88.18,50.0
Sticker | NiKo | Austin 2025,,,,,,,
Sticker | NiKo | Berlin 2019,2.45,2.45,1.8,2.39,1.8,2.39,1.85
Sticker | NiKo | Boston 2018,22.8,22.8,16.36,22.94,16.36,22.73,17.43
Sticker | NiKo | Cluj-Napoca 2015,186.77,186.77,143.17,187.99,143.17,186.32,148.19
Sticker | NiKo | Cologne 2016,51.31,51.31,42.95,51.64,42.95,51.18,42.11
Sticker | NiKo | Copenhagen 2024,0.05,0.05,0.03,0.06,0.03,0.06,0.04
Sticker | NiKo | Katowice 2019,4.87,4.87,3.2,4.89,3.2,4.89,4.07
Sticker | NiKo | Krakow 2017,26.57,26.57,19.01,26.52,19.01,26.22,19.28
Sticker | NiKo | London 2018,6.0,6.0,3.62,6.0,3.62,6.0,3.58
Sticker | NiKo | MLG Columbus 2016,31.45,31.45,25.91,31.66,25.91,31.37,28.95
Sticker | NiKo | Paris 2023,0.05,0.05,0.02,0.05,0.02,0.05,0.02
Sticker | NiKo | Shanghai 2024,0.09,0.09,0.05,0.09,0.05,0.09,0.05
Sticker | NiKo | Stockholm 2021,0.36,0.36,0.26,0.38,0.26,0.36,0.27
Sticker | Nice Clutch (Holo),1.87,1.87,1.02,1.61,1.02,1.5,0.98
Sticker | Nice Shot,2.04,2.04,1.35,2.03,1.35,2.02,1.45
Sticker | NickelBack (Glitter) | Copenhagen 2024,0.04,0.04,0.02,0.04,0.02,0.04,0.03
Sticker | NickelBack (Gold) | Copenhagen 2024,1.32,1.32,0.83,1.31,0.83,1.4,0.9
Sticker | NickelBack (Holo) | Copenhagen 2024,0.34,0.34,0.26,0.32,0.26,0.31,0.48
Sticker | NickelBack | Copenhagen 2024,0.03,0.03,0.01,0.03,0.01,0.03,0.01
Sticker | Nifty (Foil) | Boston 2018,21.16,21.16,12.23,21.29,12.23,21.1,17.96
Sticker | Nifty (Foil) | London 2018,6.1,6.1,4.61,6.1,4.61,6.1,4.6
Sticker | Nifty (Gold) | Boston 2018,,,3507.83,,3507.83,,3507.83
Sticker | Nifty (Gold) | London 2018,145.89,145.89,107.45,145.33,107.45,145.71,109.56
Sticker | Nifty | Boston 2018,3.22,3.22,1.48,2.7,1.48,2.7,1.82
Sticker | Nifty | London 2018,3.08,3.08,2.11,3.1,2.11,3.1,2.39
Sticker | Night Lords 1,,,,,,,
Sticker | Night Lords 2,,,,,,,
Sticker | Ninja Defuse,1.07,1.07,0.7,1.07,0.7,1.06,0.69
Sticker | Ninjas in Pyjamas  | Katowice 2015,12.76,12.76,9.79,12.78,9.79,12.74,10.81
Sticker | Ninjas in Pyjamas (Foil) | 2020 RMR,0.24,0.24,0.17,0.24,0.17,0.24,0.16
Sticker | Ninjas in Pyjamas (Foil) | Berlin 2019,5.0,5.0,2.52,5.0,2.52,4.98,2.63
Sticker | Ninjas in Pyjamas (Foil) | Cluj-Napoca 2015,15.49,15.49,12.04,15.49,12.04,15.43,14.71
Sticker | Ninjas in Pyjamas (Foil) | Cologne 2015,13.75,13.75,11.25,13.83,11.25,13.76,11.92
Sticker | Ninjas in Pyjamas (Foil) | Cologne 2016,21.27,21.27,17.03,21.27,17.03,21.29,17.24
Sticker | Ninjas in Pyjamas (Foil) | DreamHack 2014,187.0,187.0,133.64,169.12,133.64,167.61,139.0
Sticker | Ninjas in Pyjamas (Foil) | Katowice 2015,159.57,159.57,57.27,160.62,57.27,160.62,79.51
Sticker | Ninjas in Pyjamas (Foil) | Katowice 2019,17.44,17.44,10.77,17.48,10.77,17.42,17.63
Sticker | Ninjas in Pyjamas (Foil) | London 2018,16.64,16.64,12.04,16.58,12.04,16.62,22.74
Sticker | Ninjas in Pyjamas (Foil) | MLG Columbus 2016,29.03,29.03,23.99,29.03,23.99,29.03,23.99
Sticker | Ninjas in Pyjamas (Foil) | Stockholm 2021,1.52,1.52,0.76,1.24,0.76,1.32,0.77
Sticker | Ninjas in Pyjamas (Glitter) | Antwerp 2022,0.11,0.11,0.07,0.11,0.07,0.1,0.08
Sticker | Ninjas in Pyjamas (Glitter) | Paris 2023,0.05,0.05,0.02,0.05,0.02,0.05,0.02
Sticker | Ninjas in Pyjamas (Glitter) | Rio 2022,0.08,0.08,0.04,0.07,0.04,0.09,0.06
